,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
13,SacredHologram,"⚗️Sacred Hologram INC ⚗️Author, Speaker, Artist, Intuitive🌙🔮 #amwriting #writerslift #WritingCommunity #vss365 💫 👁🛎@KatherineTHoppe","Los Angeles, CA",1804,1686,1604,0,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
14,MsKweet,"BETTA 2 B HATD 4 WAT U R THN 2 B LUVD 4 WAT U R NT. B URSLF BUT B UR BST SLF. DARE 2 B DIFF, FOLLOW UR OWN⭐ERADICATE SLF HATRD/RACISM BY ANY MEANS NECESSARY❗❗
☥",ZEN ROOM~WOMBMAN CAVE⚡💥🔥🗿👣,4377,3594,20417,1,You got to keep your head up #coronapocalypse #CoronaOutbreak #QuarantineAndChill #NationalEmergency #Tupac https://t.co/9cBD1TQXW6,"['coronapocalypse', 'CoronaOutbreak', 'QuarantineAndChill', 'NationalEmergency', 'Tupac']"
15,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,627,1022,0,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
16,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,0,"Get your piece of land at #replant and build your Dream Home at one of the most premium locations
Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444

#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona #LiveLife #SaveLife l #indialockdown https://t.co/FWh8VSn3rE","['replant', 'StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona', 'LiveLife', 'SaveLife', 'indialockdown']"
17,todaygame,What Is #SocialMedia Today teaches you how to play the #gameofsocialmedia #writerslife #authorpreneur #whatissocialmedia,"Asheville, NC",4847,4561,35297,0,What is the metaphysical meaning of #coronavirus? What a #medicalintuitive wants you to consider: https://t.co/3SZn9ijTF2 #Covid19 #Coronaoutbreak #Wellness #naturalhealing #healing,"['coronavirus', 'medicalintuitive', 'Covid19', 'Coronaoutbreak', 'Wellness', 'naturalhealing', 'healing']"
18,UkHealing,#NaturalHealth and #Healing #Podcast Hosted by #Medicalintuitive and #Author @CSCarrigan GMT Mon 9am Fri 9am Sat 13:00 Sun 18:00,UK,2749,3002,29269,0,What is the metaphysical meaning of #coronavirus? What a #medicalintuitive wants you to consider: https://t.co/agKoBsbPml #Covid19 #Coronaoutbreak #Wellness #naturalhealing #healing,"['coronavirus', 'medicalintuitive', 'Covid19', 'Coronaoutbreak', 'Wellness', 'naturalhealing', 'healing']"
19,CSCarrigan,Medical Intuitive Healer + Amazon No. 1 Bestselling Author + Host of the Natural Healing Show for UK Health Radio,"Atlanta, Georgia",42887,43314,231839,0,What is the metaphysical meaning of #coronavirus? What a #medicalintuitive wants you to consider: https://t.co/unhiT7wakU #Covid19 #Coronaoutbreak #Wellness #naturalhealing #healing,"['coronavirus', 'medicalintuitive', 'Covid19', 'Coronaoutbreak', 'Wellness', 'naturalhealing', 'healing']"
20,bmoney_websites,Best websites and ideas to make money online💰 | Learn how to get passive income online | Get Business ideas #makemoney #passiveincome,,95,1596,11964,3,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
21,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,3,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
22,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,627,1022,3,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
23,desirechisomda1,focus on your self everything will align 🌍~Dc niel~🤠 abeg tag is @chemzyt27💰,"Lagos, Nigeria",401,380,13938,1,"My favorite scene of GOT 🔥
#CoronaOutbreak 
#FridayMotivation 
#coronavirusinKenya https://t.co/DmRFDgmQCw","['CoronaOutbreak', 'FridayMotivation', 'coronavirusinKenya']"
24,SacredHologram,"⚗️Sacred Hologram INC ⚗️Author, Speaker, Artist, Intuitive🌙🔮 #amwriting #writerslift #WritingCommunity #vss365 💫 👁🛎@KatherineTHoppe","Los Angeles, CA",1804,1686,1604,0,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
25,NortheastToday,A Monthly Socio-Political News Magazine committed to share & discuss the issues of Northeast India. Join us @ https://t.co/ZXhkulSpqf,"Guwahati / Tawang, India",101,12213,53280,0,"#Covid19Tally  as of September 11 in Northeast India.

#NorthEastToday  #NetSnippet #coronavirus  #Covid19India  #coronacrisis  #CoronaOutbreak  #Covid19 https://t.co/tXLHREl205","['Covid19Tally', 'NorthEastToday', 'NetSnippet', 'coronavirus', 'Covid19India', 'coronacrisis', 'CoronaOutbreak', 'Covid19']"
26,111Ran1031,♥️RAN♥️🎌+🇰🇷=🎂94.10.31👻O♡🕊🌈Happyines depends upon ourselves. 🎀@paru33071070☪続⌒*ﾐ♪💘Life is no rehearsal*System bag?通知消えﾀﾘ~直ｯﾀﾘ~間違ｯﾀﾘ🈁遅ꔛ?🕤?Regulation*規制,,3015,2585,66963,957,"To everyone who is sick or has the corona virus I hope you get better soon and recover from this much love to you all and stay healthy plus safe #Coronavid19 #CoronaOutbreak  #CoronaVirusUpdate 
#StayAtHome https://t.co/c2EhY2IQfn",[]
27,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
28,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,627,1022,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
29,SacredHologram,"⚗️Sacred Hologram INC ⚗️Author, Speaker, Artist, Intuitive🌙🔮 #amwriting #writerslift #WritingCommunity #vss365 💫 👁🛎@KatherineTHoppe","Los Angeles, CA",1804,1686,1604,0,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
30,NandanamKrupak6,"Telangana state organising secretary.bharat swabhiman trust.
secretary general yoga Telangana society.
sr.state vice..president Telangana yogasana sports assn.",,49,105,15100,435,"#IndiaFightsCorona:

Let's remind ourselves again about the simple and effective healthy habits that will help us against #COVID19.

#SwasthaBharat #HealthForAll #CoronaOutbreak #Lockdown21 https://t.co/E9OdeEGJuW",['IndiaFightsCorona']
31,NandanamKrupak6,"Telangana state organising secretary.bharat swabhiman trust.
secretary general yoga Telangana society.
sr.state vice..president Telangana yogasana sports assn.",,49,105,15100,48,"#IndiaFightsCorona

Stigma around #COVID19 can discourage people to take necessary steps to fight the virus. 

#TogetherAgainstCovid19 #SwasthaBharat #CoronaOutbreak #HealthForAll #Unlock2 https://t.co/FRYtLZfhzV","['IndiaFightsCorona', 'COVID19']"
32,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
33,BaharLiri,Writer. Artist. Jew. Israeli. https://t.co/c39J1Dd4gE,Israel,2638,2708,1367,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
34,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,627,1022,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
35,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,0,"Get your piece of land at #replant and build your Dream Home at one of the most premium locations
Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444

#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona #LiveLife #SaveLife l #indialockdown https://t.co/Istca4PL4Y","['replant', 'StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona', 'LiveLife', 'SaveLife', 'indialockdown']"
36,SUNILKUMAR2002U,"Indian Nationalists.Observing & Obtaining fm Others but self analysis from Internally,externally even Globally too.Respectully devotee of our Culture & Religion",,45,222,24573,0,@AshokShrivasta6 @nytimes @washingtonpost But now Lutyens Club and International Press contractors are silent on USA's #CoronaOutbreak । No oxygen No Vaccine No Hospital No Medical Assistance। Only slective agendas against #India &amp; #Modi ।,"['CoronaOutbreak', 'India', 'Modi']"
37,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
38,TweetinMichelle,Social Media Manager / Planner.,"Toronto, Canada",81,145,9061,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift']"
39,AllSeeingTree,"Write your dreams. Manisfest 👁‍🗨 All Seeing Tree 🌳👁💜 artist, writer, investor #allseeingtree #crypto #amwriting #writerslift #NFT #ai🔮 @SacredHologram",East of Eden,780,627,1022,2,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

 #quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/6sOPozy4yG","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
40,pettit_luis,Thanksgiving is a time of togetherness and gratitude.,Florida,40,94,9877,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift']"
41,SacredHologram,"⚗️Sacred Hologram INC ⚗️Author, Speaker, Artist, Intuitive🌙🔮 #amwriting #writerslift #WritingCommunity #vss365 💫 👁🛎@KatherineTHoppe","Los Angeles, CA",1804,1686,1604,1,"Ridiculously Easy Steps to Get Rich with a Blog! Make money working from home!

#quote #Writers #amwriting #writerslift #writerscommunity #makemoney #makemoneyfromhome #staycalm #CoronaOutbreak #dontpanic #pandemic #artists #LOA #lawofattraction 

https://t.co/dDH0Gg4tcY","['quote', 'Writers', 'amwriting', 'writerslift', 'writerscommunity', 'makemoney', 'makemoneyfromhome', 'staycalm', 'CoronaOutbreak', 'dontpanic', 'pandemic', 'artists', 'LOA', 'lawofattraction']"
42,replantrealguru,"Contact Us-
Mail id: Info@rprgindia.com
Mob no : +91-7691000444",India,144,18,717,0,"Find a place to live that fits your style.
Visit- https://t.co/d5qAKqx6Q4 
Call us: +91-7691000444

#StaySafeStayHome #SwasthaBharat #CoronaOutbreak #HealthForAll #Lockdown #Corona #LiveLife #SaveLife l #indialockdown #StayAtHome #BeWithCountry #Awareness #Share #Tag https://t.co/WMO4qhT4zn","['StaySafeStayHome', 'SwasthaBharat', 'CoronaOutbreak', 'HealthForAll', 'Lockdown', 'Corona', 'LiveLife', 'SaveLife', 'indialockdown', 'StayAtHome', 'BeWithCountry', 'Awareness', 'Share', 'Tag']"
43,NortheastToday,A Monthly Socio-Political News Magazine committed to share & discuss the issues of Northeast India. Join us @ https://t.co/ZXhkulSpqf,"Guwahati / Tawang, India",101,12213,53280,0,"#Covid19Tally  as of September 8 in Northeast India.
#NorthEastToday  #NetSnippet #coronavirus  #Covid19India  #coronacrisis  #CoronaOutbreak  #Covid19 https://t.co/xpas1txJFx","['Covid19Tally', 'NorthEastToday', 'NetSnippet', 'coronavirus', 'Covid19India', 'coronacrisis', 'CoronaOutbreak', 'Covid19']"
