,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
860,tenej_jen,🌿🍑 I block by choice 🍑🌿🍓 #MVP #KamalaHarris  #DougEmhoff #khive 🍓🌿💄 #TeamPelosi 👠🌿🌿🌸 #Hillary #StillWithHer 🌸🌿 RT ≠ Endorsement 🌿,,443,952,374614,87,"Breaking: LA County Public Health will issue a health order this week requiring proof of vaccination or a neg test for outdoor events with 10K people or more. It also requires proof of vax for indoor bars, nightclubs, &amp; lounges. It strongly recommends doing so for restaurants. https://t.co/wuyJlW1WBD",[]
861,TandemResisters,"We were living a nice life until 2016 when the world turned upside down. Since the election, been marching and now tweeting. Views are our own. #Resist #GLBTQ","San Diego, CA",20974,19248,29904,4567,"BREAKING: A large Florida landlord announces that he will begin requiring all new and existing tenants to provide proof of COVID vaccination, saying, “You don't want to get vaccinated? You have to move, and if you don't, we will evict you.” RT IF YOU SUPPORT THE LANDLORD’S MOVE!",[]
862,mimicsamachan,just tryin to keep up! (he/they),,221,103,4401,151,"This map is amazing. Texarkana is a city split by the border of Texas and Arkansas. In 1970 both halves of the city had a measles outbreak.

The Texas half of the city had no school vaccination mandates. The Arkansas half did. 95% of the measles cases were in Texas. https://t.co/7gDrWbaKsP",[]
863,LowieM,,,48,11,19,0,@jkenney To be clear no one wants hard lock downs. We want the government to support businesses by putting in place (not just an option) a true proof of vaccination for any person above 12 to partake in any indoor/controlled outdoor setting that is not essential to the basics of living.,[]
864,4patients613YOW,Health Advocate,Ottawa,772,154,3452,0,@OttCatholicSB Vaccination status of employees?  Percentages supposed to posted.  Is there a link?,[]
865,TerrySerio,Played Hawke & Howard in Keating! This... my political wing...🧜🏼‍♂️ Joining the dots. Also @StageFright_Fbi on Fbi94.5fm @fbiRadio Now in ’Reckoning’ @Netflix,Sydney,5000,4549,179675,89,"Scott Morrison, Prime Minister for NSW, stole 340,000 doses of Pfizer from Victoria.

So now we must urgently catchup to end Morrison’s damaging lockdowns. 

Great to see Dandenong’s new pop-up vaccination clinic. Protect yourself, your family &amp; the community.
#auspol #dandenong https://t.co/lI2bcfRpBj",[]
866,BillFosterNoTec,Standing up for my rights as a consumer. Tweets are my own and do not reflect the views of NoTec.,,610,97,4800,0,@herewego8645 @Kenny_S11 @TondaMacC How can you prove they are all vaccinated when vaccination status wasn’t checked? 🤔 And distancing is the LAW in Ontario regardless. https://t.co/Rvp938rMVg,[]
867,itsmenindra_,,,391,198,3938,12,"I shouldn't laugh but Wooseok is too cute and funny complaining about the after effect of vaccination haha. How he is going to go to work soon but he feels pain and can't lift up his arm 

He type 'next le' (incomplete sentence) 😂",[]
868,silbersm,,,712,70,3696,29,Raytheon requires U.S. workers get COVID-19 vaccination https://t.co/xZiflZvwTd https://t.co/5b1EWWaiBX,[]
869,OP_Omom,"Mom, Lover of Life, Learner of Truth, Seeker. #panquake #education #parenting #teens #mentalhealth #OneLove #ASD #autistic @OpheliaPG 4politics/rants",Everywhere 🔥 🦺,4860,4730,93879,3,Occupy Democrats is suddenly supporting evictions in the case of those who don’t provide proof of vaccination. 🤬  https://t.co/zInpyg6tv7,[]
870,00psywh00psy,oof,,106,4,1038,149,"So you have to produce a clear covid test or proof of vaccination to your bartender before they can give you Bud light. But you still have to wear a mask because the vaccines don't work? 

What?",[]
871,landrgates,,,185,83,14120,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
872,GrhamNative,,,3,2,8503,0,Obviously I don’t feel comfortable going into medical clinic at this point in time to seek vaccination particularly a clinic that he has been known to ambush me in before,[]
873,demeatloaf,"March 4! 1981! Year of our Lord, Jesus Christ",2016 ,1152,1622,114693,38,"At the end of the day, a significant number of people who haven't gotten vaccinated couldn't care less about what anyone is saying about vaccination, they just don't see the need to do it until they have to https://t.co/hxV7Kosute",[]
874,shreyas73083563,I am the greatest,,197,10,235,306,"New iPhone 13 Will Require Vaccination To Unlock Screen
#iPhone #vaccination #AppleEvent #Apple #AppleEvent2021 https://t.co/rYrS9rbLbs","['iPhone', 'vaccination', 'AppleEvent', 'Apple', 'AppleEvent2021']"
875,micalaag,"Animal Rights 🐾 #BeHumane
              Human Rights ✊ #BeKind                               
We all matter or none of us do -           @SkinnerPM","Cape Cod, MA",839,411,30009,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
876,rob_lowy912,"@FoxNews lies are KILLING PEOPLE.

#TaxTheChurches","Pittsburg, CA",2504,1746,49029,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
877,RealJoelGomes,Actions speak louder than words! You are what you do.,"Ontario, CA",217,178,46664,747,"Caregivers and residents demonstrate in front of the Besançon hospital in France against mandatory vaccination.

Caregivers are threatened with suspension of their employment contract if they do not get vaccinated. https://t.co/5Jq3RqqyJR",[]
878,AndrewIwaniuk,"neurobiologist, ornithologist, scruffy looking nerfherder, chief contrarian, social distancing since 1974","Lethbridge, Alberta",349,382,1152,0,@UbakaOgbogu I suspect the universities are exempt because they adhere to the “restriction exemption program” by asking for proof of vaccination or covid test. Admin at the UofL is meant to send out an email later tonight to clarify. Or not…,[]
879,KevinPhillipsB2,"Currently polling nothing, not a sausage, bugger all in the 2021 election. Be careful or I shall taunt you a second time.",,16,2,125,312,"""Restriction exemption"" program. ""Proof of vaccination"" program. Whatever you call it, it's a vaccine passport for #AB. FINALLY!

@PremierScottMoe, your turn. #SK is the LAST place in Canada with no mask mandate or passport. Better late than never.

RT if you agree.

#COVID19SK",['AB']
880,jyotisn33199086,"• Learner •
Psychology student ❤️",,12,0,2,59,"#IndiaFightsCorona:

📍More than 45.0 crore doses administered in first 85 days of the World's Largest Free-For-All Vaccination Drive launched on June 21, 2021. (As on September 14, 2021)

➡️ But this fight isn't over yet, strengthen the country's endeavour by getting #vaccinated https://t.co/VElBUetLgu",['IndiaFightsCorona']
881,BioPkmF16_27,"Twitter Replacement account for Bioniclepokemonfan16 from DA due to the crap shoot that is DA Eclipse.
28, He/Him
Icon by @FujoshiiNeko","Ohio, USA. Unfortunately ",112,91,2812,0,"@CalliEchoTF ya see, Large gatherings like this that don't mandate that everyone must wear a mask are a hard pass. UNLESS they make people show their vaccination card and are fully vaccinated.
Just saying that Fully vaccinated people don't have to wear a mask, and trusting the honor system-",[]
882,JohnMic67724628,#VoteBlue #TrumpHater #BLM,,779,460,8859,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
883,sue_murchie1,I know very little about very much . 😊,,484,31,738,182,"BREAKING: Proof of vaccination program announced in Alberta, state of emergency declared https://t.co/gVTeFErbnW https://t.co/uJNxp4ClVT",[]
884,Kjack59,,,2307,620,27128,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
885,kate18910679,,,104,11,1267,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
886,_dafnalina_,"Fanartist occasionally 🌈 • #Ten • so10 advocate •
https://t.co/mjfWw3dc2q",She/Her • 90’s baby 🦋 • Sp/En,517,1001,17435,124,Vaccination anthem  https://t.co/f022r1GQDm,[]
887,albaxramos,🇲🇽| 🇺🇸| 🇯🇵 ✈️🎶📚☕️,,271,454,17191,52,"PROOF OF VACCINE: Los Angeles County is planning on issuing a new health officer order later this week that will require proof of vaccination for indoor bars, wineries, breweries, nightclubs and lounges. #breaking DETAILS: https://t.co/1zqp4hvuvX https://t.co/0dYUI0fW1U",[]
888,BFitzimmons,,"New York, NY",249,153,31851,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
889,HealthInfoNet,Helping to #CloseTheGap by providing the evidence base to inform practice and policy in Aboriginal and Torres Strait Islander health.,Australia,977,7345,9725,0,The Australian Government is further boosting the vaccination program for Aboriginal and Torres Strait Islander people across 30 priority areas to ensure all Australians can access a COVID-19 vaccine. https://t.co/XJwTpg5wVA,[]
890,kingtrey,#Actor #Activist #Agnostic #Survivor #HIV 28yrs #AIDS 24yrs #HeartAttack 11yrs #Medical #Cannabis #Legal #Patient. Likes and RTs ≠ endorsements.,"West Hollywood, CA",5000,3730,51631,45,"NEW VACCINE MANDATE: Proof of vaccination or a negative COVID test will be required for bars, wineries, breweries, nightclubs and lounges, and outdoor events of 10,000 people or more. https://t.co/hvk5kqurK6",[]
891,loridt,,,37,27,137,312,"""Restriction exemption"" program. ""Proof of vaccination"" program. Whatever you call it, it's a vaccine passport for #AB. FINALLY!

@PremierScottMoe, your turn. #SK is the LAST place in Canada with no mask mandate or passport. Better late than never.

RT if you agree.

#COVID19SK",['AB']
892,bamcunningham,#MAGA #KAG #TRUMP🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁🇺🇲🥁,,3463,2019,18667,2,I personally do not care if people are vaccinated or unvaccinated! That is my point …. Freedom of CHOICE ! As for a forced vaccination I’d reflect back to the Nuremberg Code ! MAGA 🇺🇸⚖️,[]
893,AbrasiveSparky,"“any damn fool can make something complicated, it takes a genius to simplify it”",,41,2,301,92,"Preprint of a study from UW-Madison examining infectious SARS-CoV-2 despite vaccination doesn't look good for mandate advocates. Researchers compared 699 swab specimens collected in July 2021 from residents of 36 counties. It seems like Delta has changed the game. 
1/",[]
894,MichaelHolmbe13,,"Las Cruces, NM",39,21,12182,11,"Rep. Lin Bennett takes this position on vaccination but not when it comes to women’s bodily autonomy. We should have elected @EdCSutton 
#2022iscoming #GetVaccinated #DemCastSC https://t.co/aukRqYHpzH",[]
895,PowerLevel9k,The best way out is through.,"North Carolina, USA",625,550,10020,1,Just because you’re vaccinated doesn’t mean you believe in forced vaccination. 🙄 https://t.co/Qa4FPnnEuV,[]
896,BharatTimes,,Melbourne,45,306,1953,0,New post COVID-19 digital vaccination certificates are here!  https://t.co/jCFIBh2xX2,[]
897,owengeorgielucy,,,84,3,191,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
898,BKHARRIS12,"Anti lock downs anti vaccine passports. Make Canada great again. We must vote PPC. Never settle. Oh and jazz, scotch, wine and paranormal","Ontario, Canada",261,97,1758,149,"So you have to produce a clear covid test or proof of vaccination to your bartender before they can give you Bud light. But you still have to wear a mask because the vaccines don't work? 

What?",[]
899,oldguyink,"Oldguyink the second. 

“Information paints no picture, sings no song, and writes no poem.” ― R.F. George",Canada,349,84,2436,0,@mpotkins Has Nenshi changed anyone's mind about vaccination?,[]
900,danny824,"Reading, writing, & running a small zoo. . . . 
🐶 🐱 🐠🐔🦆🐝 📚 #amwriting #WCN #ACIM #ASPCA #NWF #WWF 🐼 #RESIST",Califorina,22899,23878,17886,235,"Red states vs Blue, #COVID19 deaths and #vaccination rates. The data is horrible and clear.
https://t.co/bs8ztesDWQ https://t.co/jMxw88jA2r","['COVID19', 'vaccination']"
901,jostnancy,,,1020,418,17028,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
902,babystttern,We took a chonce,"Satellite Beach, FL",41,18,98,0,@hslotcovid And regardless of vaccination status!,[]
903,felicidad2811,Retired quality control inspector.,,597,195,6421,3188,BREAKING NEWS: The NFL’s Buffalo Bills announce that all fans over the age of 12 will now be required to show proof of vaccination in order to enter their stadium. RT IF YOU THINK THAT EVERY AMERICAN SPORTS TEAM MUST FOLLOW THEIR LEAD!,[]
904,FluteTweets,"Trains, Politics, Technology & Philosophy",India,291,131,20726,137,"@rishibagree I have been associated with vaccination drive since 16th jan 2021. Believe me, it is absolutely impossible to pull of this campaign with so much of precious n perfection.Forget about the numbers,but the manner in which it Is implemented, impossible without @narendramodi ‘s vision",[]
905,KTIGER97338157,,,659,465,104332,237,"A Florida landlord is requiring his tenants to show proof of vaccination to continue living on his property. There is no end to this madness. They crave power and control. And they won't stop.

We're on a dangerous path in this country. Most have no idea how bad it could get.",[]
906,DeeDeeBaldwinMS,History librarian @msu_libraries. Tweets represent me alone. Researching 19th-c Black legislators in Mississippi. #Reconstruction #BlackDH she/her,"Starkville, MS",1106,725,3759,3,"“Therefore, be it enacted that the ASB Senate support the faculty senate’s resolutions and call for a COVID-19 vaccination mandate for all students, faculty, and staff, with exemptions allowed by law and policy.” https://t.co/6LHKCvrPaC",[]
907,FBC_News,Official Twitter Account. News on the hour on 6 radio stations & at 7pm on @FBC_TV ▫️ Facebook: FBC News ▫️ YouTube: FBCTV2011 ▫️Email: fbcnews@fbc.com.fj,"Suva, Fiji",266,35306,51203,1,"Fiji Link has added a new requirement to their health and safety measures as the containment borders are expected to be opened soon.
#FBCNews  #FijiNews #Fiji #COVID19 #FJunited 
More: https://t.co/cmfa2YKd3v https://t.co/p5vPdug6SV","['FBCNews', 'FijiNews', 'Fiji', 'COVID19', 'FJunited']"
908,galileopfd,A native Californian who misses living in NY & NJ. I’m sick of the GQP & their sick self serving agenda. We still have work to do.,"Texas, USA",4999,1225,22839,4567,"BREAKING: A large Florida landlord announces that he will begin requiring all new and existing tenants to provide proof of COVID vaccination, saying, “You don't want to get vaccinated? You have to move, and if you don't, we will evict you.” RT IF YOU SUPPORT THE LANDLORD’S MOVE!",[]
909,varada66,,,122,36,30716,157,"Good news for telecom &amp; auto sectors at today’s cabinet meeting. 100% FDI in telecom, 4-year moratorium on #AGR dues, #PLI for auto firms. Good for jobs. Not good for doomsayers constantly sniffing around for bad economic news. For them, tragically, even vaccination going well.",['AGR']
910,BlimeyNorman,"A Mum, a wife, a sister, a daughter, a friend, an RN and a writer. Yup, that's me.","Calgary, Canada",297,44,854,74,"""Restriction exemption program"" is to vaccination passport what ""Canadian semiaquatic rodent posterior doughnuts"" is to Beavertails",[]
911,nagarkoti,"Special Correspondent @timesofindia. Covers #Chandigarh #Punjab #Haryana #HighCourt. Previously with @thetribunechd. Secretary General, Chandigarh Press Club",Uttarakhand→Chandigarh ,943,21902,15193,0,"#Chandigarh 

With Centre revising target, 100% first Covid vaccination dose coverage done in Chandigarh

https://t.co/SOs123TYvs 

@timesofindia",['Chandigarh']
912,BadrinathSimha,"Practicing FCA | Taxation, Law, Technology, Nature are a few interests | Bonding with fellow professionals |",Bengaluru,372,400,2568,7819,"Milords have asked the Government to ensure 100% vaccination by the end of the year… The Government, in turn, should ask them to clear this 4 Cr pendency by 31 December…
Please RT if you agree! https://t.co/QKaz1tHecX",[]
